Sector,Other,Residential,Productive,Unknown,Infrastructure,Education,Public
Total_Loss,4193641,22594552,4427159,10880156,1944232,250524,990847
Total_Wind_Loss,4192214,22567439,4360314,10821496,164679,250524,978466
Total_Fluvial_Loss,0,0,0,0,0,0,0
Total_Coastal_Loss,1427,27113,66845,58660,1779553,0,12381
Total_Exposed_Value,73302389,778321615,179863939,77504025,161398132,17893604,86417084
Total_Value,79406930,893338962,189349669,142761467,194863192,17899884,94887032
Number_Exposed_Buildings,1300,8003,1367,2082,21,55,395
Number_Damaged_Buildings,1271,7559,1319,1888,17,50,375
Total_Number_Buildings,1603,10672,1545,4102,41,56,527
Total_Exposed_Value_Buildings,73302389,778321615,173045025,77504025,1525592,17893604,86417084
Total_Value_Buildings,79406930,893338962,180139428,142761467,2479276,17899884,94887032
By_Loss.range_<_1.Number,332,3170,8103,2214,64305,6,158
By_Loss.range_<_1.Total_Loss,0,30,4,0,0,0,4
By_Loss.range_1_100.Number,332,2988,566,95,89,15,167
By_Loss.range_1_100.Total_Loss,12482,96872,16998,4973,4727,535,5678
By_Loss.range_100_1000.Number,411,1909,319,696,73,12,109
By_Loss.range_100_1000.Total_Loss,165201,765222,132031,347345,27698,4982,43956
By_Loss.range_1000_10000.Number,421,2020,345,828,62,16,77
By_Loss.range_1000_10000.Total_Loss,1527188,7148182,1134762,2973809,269461,62137,275252
By_Loss.range_10000_100000.Number,106,582,97,265,76,7,14
By_Loss.range_10000_100000.Total_Loss,2382695,14047764,2494686,6916126,1642346,182870,247767
By_Loss.range_100000_+.Number,1,3,4,4,0,0,2
By_Loss.range_100000_+.Total_Loss,106074,536482,648678,637903,0,0,418189
